ViPS,WER,CER,BertScore,SemanticSimilarity
0.9871885238058532,0.058823529411764705,0.04597701149425287,0.9666550159454346,0.9747260808944702
1.0,0.0,0.0,0.9999999403953552,1.0
1.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0000001192092896,1.0
1.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,1.0000001192092896
1.0,0.06666666666666667,0.011363636363636364,0.967893123626709,0.7835375070571899
0.9735730788552047,0.1875,0.031578947368421054,0.965701162815094,0.9162130951881409
0.946236559139785,0.047619047619047616,0.06481481481481481,0.9960199594497681,0.9467406272888184
1.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0000001192092896,1.0
1.0,0.0,0.0,1.0,1.0000001192092896
1.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,1.0000001192092896
1.0,0.0,0.0,1.0,1.0000001192092896
1.0,0.0,0.0,1.0000001192092896,1.0000001192092896
1.0,0.0,0.0,0.9999999403953552,1.0000001192092896
1.0,0.0,0.0,1.0000001192092896,1.0
0.9901960784313726,0.04,0.017241379310344827,0.991349995136261,0.7630402445793152
0.999090531998116,0.05263157894736842,0.030927835051546393,0.9755616784095764,0.7430801391601562
1.0,0.0,0.0,0.9999998807907104,1.0000001192092896
1.0,0.0,0.0,0.9999999403953552,1.0
1.0,0.0,0.0,1.0,1.0000001192092896
1.0,0.0,0.0,1.0000001192092896,1.0
1.0,0.0,0.0,0.9999999403953552,1.0000001192092896
0.9880952380952381,0.05555555555555555,0.031578947368421054,0.9733125567436218,0.9832935333251953
0.9986799594610306,0.07692307692307693,0.011764705882352941,0.9668572545051575,0.6750556826591492
1.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0000001192092896,1.0
1.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0000001192092896,1.0000001192092896
1.0,0.0,0.0,0.9999999403953552,1.0000001192092896
1.0,0.0,0.0,0.9999999403953552,1.0
1.0,0.0,0.0,0.9999998807907104,1.0
1.0,0.0,0.0,1.0,1.0000001192092896
0.8910891089108911,0.13636363636363635,0.1,0.9770181775093079,0.9770506620407104
0.9865107673732216,0.06666666666666667,0.04395604395604396,0.9730530977249146,0.7155148386955261
1.0,0.0,0.0,0.9999998211860657,1.0
1.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,0.9999998807907104,1.0000001192092896
0.9989437544773925,0.0625,0.012658227848101266,0.968040943145752,0.5565354228019714
0.9992251327531484,0.06666666666666667,0.01,0.9770473837852478,0.9422597289085388
1.0,0.0,0.0,1.0000001192092896,1.0
0.9405967857777124,0.35294117647058826,0.11,0.9661552906036377,0.8664449453353882
0.8974358974358975,0.07692307692307693,0.11392405063291139,0.9853885173797607,0.9910795092582703
1.0,0.0,0.0,0.9999998211860657,1.0
1.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0000001192092896,1.0000001192092896
0.9993392333288803,0.07692307692307693,0.0125,0.9858116507530212,0.9830947518348694
0.9774511828745521,0.07692307692307693,0.03296703296703297,0.973629355430603,0.9872603416442871
0.9665578343750088,0.1,0.026785714285714284,0.9815455079078674,0.9531550407409668
0.9897959183673469,0.11764705882352941,0.00909090909090909,0.9789124131202698,0.9468619227409363
0.9766796469310872,0.18181818181818182,0.07407407407407407,0.9384362101554871,0.8720318078994751
0.9047301005549078,0.11764705882352941,0.08536585365853659,0.9789696931838989,0.9778745770454407
0.9846153846153847,0.06666666666666667,0.012658227848101266,0.9755277633666992,0.7297126650810242
1.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,1.0000001192092896
1.0,0.0,0.0,0.9999998807907104,1.0
0.9876543209876543,0.1111111111111111,0.01020408163265306,0.9877559542655945,0.9594835042953491
1.0,0.0,0.0,1.0,1.0000001192092896
1.0,0.07142857142857142,0.012345679012345678,0.9688370823860168,0.8524051904678345
1.0,0.0,0.0,1.0000001192092896,1.0000001192092896
0.9977439817806704,0.05,0.0297029702970297,0.9825165271759033,0.9590052366256714
0.9440362008154124,0.11764705882352941,0.08045977011494253,0.948782205581665,0.813676118850708
1.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.000000238418579,1.0000001192092896
1.0,0.0,0.0,0.9999998211860657,1.0
0.9673273944840607,0.08333333333333333,0.04285714285714286,0.9574767351150513,0.9233279228210449
1.0,0.0,0.0,0.9999998807907104,1.0000001192092896
0.8813559322033898,0.1,0.14035087719298245,0.9729595184326172,0.9152641892433167
1.0,0.0,0.0,1.0,1.0000001192092896
1.0,0.0,0.0,0.9999999403953552,1.0
1.0,0.0,0.0,0.9999998807907104,1.0
