WPS,WVS,WER,CER,BertScore,SemanticSimilarity
0.9426935721896916,0.9438995125681447,0.25,0.12121212121212122,0.9559581875801086,0.7580446004867554
0.8427742653971441,0.8433353993583964,0.5,0.26582278481012656,0.9062210321426392,0.49481064081192017
0.9495851661374954,0.9494312659956028,0.15789473684210525,0.13541666666666666,0.9345373511314392,0.8138644099235535
0.8167869781256045,0.8170073761861172,0.42857142857142855,0.3188405797101449,0.9069101810455322,0.41469714045524597
0.9556684400656954,0.9685398553165725,0.125,0.10843373493975904,0.9809945225715637,0.9597490429878235
0.7212288685782067,0.7369116899124519,0.7857142857142857,0.6901408450704225,0.8285297155380249,0.03625445067882538
0.8877299476126946,0.8889432888196072,0.4,0.1875,0.9158326983451843,0.3390076458454132
0.8357830158830895,0.836458315299591,0.5714285714285714,0.3625,0.8501384854316711,0.26180359721183777
0.9246443033638645,0.9256165209676983,0.21428571428571427,0.14084507042253522,0.9364508390426636,0.6883676052093506
0.9640811380997437,0.9648378973807651,0.2857142857142857,0.13333333333333333,0.9378387928009033,0.5548114776611328
0.9511357903625131,0.9512643787837148,0.35714285714285715,0.15,0.9039301872253418,0.7379304766654968
0.8653124713576661,0.8671691635358463,0.5,0.1951219512195122,0.9310881495475769,0.3739757239818573
0.9168188366215928,0.915361216471345,0.23076923076923078,0.09090909090909091,0.9562843441963196,0.9205164313316345
0.947239037433092,0.9480611445194261,0.0625,0.06976744186046512,0.9842444658279419,0.7279485464096069
1.0,1.0,0.0,0.0,0.9999999403953552,1.0000001192092896
0.9012063635266342,0.9148210751278332,0.46153846153846156,0.25675675675675674,0.9337654709815979,0.810762882232666
0.9320501114465222,0.9343503497456254,0.3333333333333333,0.2459016393442623,0.9311957955360413,0.4146864116191864
0.8078643666482099,0.8262242827411217,0.8181818181818182,0.4883720930232558,0.8320051431655884,0.5611727833747864
0.8999988993574876,0.9003626247542407,0.3076923076923077,0.2923076923076923,0.9247182011604309,0.6245017051696777
0.811118552173379,0.8089158322337661,0.375,0.2641509433962264,0.9229795336723328,0.4676380157470703
0.9836756996881032,0.9838709677419355,0.14285714285714285,0.027777777777777776,0.9645029306411743,0.5767742395401001
0.8982399182924669,0.8990473476797523,0.2857142857142857,0.1643835616438356,0.9188550114631653,0.6580817103385925
1.0,1.0,0.0,0.0,0.9999999403953552,1.0000001192092896
0.7448715568241261,0.7451495038592717,0.8,0.5,0.8543897271156311,0.17147040367126465
0.9036209560265814,0.9055934078847633,0.5555555555555556,0.2830188679245283,0.8872619271278381,0.2896216809749603
0.9983717182875635,0.997049223335359,0.1,0.058823529411764705,0.9888749122619629,0.9592103958129883
0.9219228441047618,0.9226560055234297,0.26666666666666666,0.14285714285714285,0.9351366758346558,0.6241135001182556
0.961668219422768,0.9603228988780458,0.15384615384615385,0.07462686567164178,0.9637144804000854,0.5422545671463013
0.8451193514570035,0.8723388837403236,0.5,0.2631578947368421,0.8782773017883301,0.5934165716171265
1.0,1.0,0.0,0.0,1.0,1.0
0.9069767441860466,0.9069767441860466,0.1,0.12244897959183673,0.9780860543251038,0.9741751551628113
0.7889560485160025,0.839883468328882,0.75,0.4915254237288136,0.8328824639320374,0.2649131715297699
0.8527362118613704,0.8579786520726611,0.5714285714285714,0.3333333333333333,0.8915640711784363,0.7486189007759094
0.945010333810504,0.9450867488523454,0.3333333333333333,0.078125,0.9272891879081726,0.5419101715087891
1.0,1.0,0.0,0.0,1.0,1.0000001192092896
0.7974327209024124,0.7972545856127922,0.5,0.34545454545454546,0.8885443806648254,0.5377723574638367
0.9622719672854245,0.9812030447475538,0.15384615384615385,0.08823529411764706,0.9526934027671814,0.7865565419197083
0.9945890029893543,0.9944929181918674,0.14285714285714285,0.061224489795918366,0.9586641788482666,0.8501068353652954
0.8342829448437878,0.8368982445142258,0.4444444444444444,0.32653061224489793,0.928377628326416,0.4164580702781677
0.9747018120425469,0.9748724230294773,0.3333333333333333,0.05555555555555555,0.9465858936309814,0.60808265209198
0.8990092356566473,0.8994828864362076,0.45454545454545453,0.17307692307692307,0.8988867998123169,0.39302945137023926
0.7126577722216798,0.7506557076959542,1.1,0.8301886792452831,0.8346470594406128,0.13755583763122559
0.9135452843751726,0.9164178277502926,0.5,0.28125,0.8969707489013672,0.1846545785665512
