Metric,Value,CP_Pearson,CP_Rsquared,CP_Pvalue,CV_Pearson,CV_Rsquared,CV_Pvalue
WPS,0.9621,,,,,,
WVS,0.9623,,,,,,
WER,0.0730,-0.7208,0.5196,p<0.001,-0.7135,0.5091,p<0.001
CER,0.0425,-0.8928,0.7971,p<0.001,-0.8897,0.7916,p<0.001
BertScore,0.9828,0.7089,0.5025,p<0.001,0.7057,0.4980,p<0.001
SemanticSimilarity,0.9398,0.5026,0.2526,p<0.001,0.4979,0.2479,p<0.001
METEOR,0.9270,,,,,,
ROUGE-1,0.9461,,,,,,
ROUGE-2,0.9156,,,,,,
ROUGE-L,0.9461,,,,,,
