Metric,Value,CP_Pearson,CP_Rsquared,CP_Pvalue,CV_Pearson,CV_Rsquared,CV_Pvalue
WPS,0.9950,,,,,,
WVS,0.9950,,,,,,
WER,0.0148,-0.6942,0.4819,p<0.001,-0.6890,0.4748,p<0.001
CER,0.0084,-0.8584,0.7369,p<0.001,-0.8562,0.7331,p<0.001
BertScore,0.9970,0.6601,0.4357,p<0.001,0.6581,0.4331,p<0.001
SemanticSimilarity,0.9865,0.5190,0.2693,p<0.001,0.5145,0.2647,p<0.001
METEOR,0.9828,,,,,,
ROUGE-1,0.9886,,,,,,
ROUGE-2,0.9813,,,,,,
ROUGE-L,0.9886,,,,,,
