Metric,Value,CP_Pearson,CP_Rsquared,CP_Pvalue,CV_Pearson,CV_Rsquared,CV_Pvalue
WPS,0.9025,,,,,,
WVS,0.9073,,,,,,
WER,0.2867,-0.8503,0.7229,p<0.001,-0.8377,0.7018,p<0.001
CER,0.1869,-0.8825,0.7788,p<0.001,-0.8713,0.7591,p<0.001
BertScore,0.9406,0.8184,0.6697,p<0.001,0.8061,0.6498,p<0.001
SemanticSimilarity,0.7110,0.7469,0.5578,p<0.001,0.7325,0.5365,p<0.001
METEOR,0.7011,,,,,,
ROUGE-1,0.7344,,,,,,
ROUGE-2,0.6214,,,,,,
ROUGE-L,0.7326,,,,,,
