Word,Dist,Accuracy,Phoneme_Correct,Phoneme_Correct_Percentage,Levenshtein,MaFI
CD,1.375262188208617,0.0,1.380952380952381,0.34523809523809523,3.857142857142857,-1.375262188208617
T-shirt,0.7990758145363409,0.05263157894736842,4.684210526315789,0.669172932330827,3.736842105263158,-0.7990758145363409
accordion,1.5333059210526316,0.0,2.4210526315789473,0.3026315789473684,6.473684210526316,-1.5333059210526316
acorn,1.7186673280423281,0.0,1.2777777777777777,0.21296296296296297,5.722222222222222,-1.7186673280423281
across,0.5875,0.2,3.4,0.6799999999999999,1.8,-0.5875
against,1.3114583333333332,0.1,2.5,0.4166666666666667,5.3,-1.3114583333333332
ago,0.665,0.1,2.8,0.7,1.5,-0.665
airplane,1.2049107142857143,0.25,3.35,0.47857142857142854,4.5,-1.2049107142857143
airport,0.9308449074074076,0.2777777777777778,3.6666666666666665,0.6111111111111112,3.4444444444444446,-0.9308449074074076
alien,1.4457093253968254,0.1,2.1,0.35,4.7,-1.4457093253968254
alligator,1.1487351190476192,0.19047619047619047,4.190476190476191,0.46560846560846564,5.761904761904762,-1.1487351190476192
ambulance,1.0461805555555554,0.25,4.8,0.5333333333333333,5.55,-1.0461805555555554
anchor,1.5359375,0.0,2.2,0.44000000000000006,3.7,-1.5359375
angel,1.7780257936507935,0.047619047619047616,1.7142857142857142,0.21428571428571427,6.761904761904762,-1.7780257936507935
another,0.29,0.7,5.2,0.8666666666666666,0.8,-0.29
ant,1.3550037202380953,0.0,1.15,0.3833333333333333,3.8,-1.3550037202380953
any,1.1793749999999998,0.2,1.4,0.4666666666666667,3.0,-1.1793749999999998
apple,0.38898026315789475,0.7368421052631579,3.3684210526315788,0.8421052631578947,0.9473684210526315,-0.38898026315789475
apron,1.3351562499999998,0.05,2.55,0.425,4.6,-1.3351562499999998
arm,1.0657894736842106,0.21052631578947367,1.6842105263157894,0.5614035087719298,1.894736842105263,-1.0657894736842106
around,0.4175,0.6,5.1,0.85,1.1,-0.4175
arrow,0.96546875,0.25,2.5,0.625,2.4,-0.96546875
ashtray,1.602641369047619,0.05,2.15,0.35833333333333334,5.8,-1.602641369047619
asparagus,1.354090244550771,0.0,4.684210526315789,0.52046783625731,6.7368421052631575,-1.354090244550771
attic,1.4981646825396826,0.047619047619047616,1.3333333333333333,0.3333333333333333,4.0476190476190474,-1.4981646825396826
avocado,0.6843315972222223,0.55,5.6,0.7,2.9,-0.6843315972222223
ax,1.1441885964912282,0.0,1.8421052631578947,0.6140350877192983,2.473684210526316,-1.1441885964912282
baby,0.23993055555555554,0.6666666666666666,4.0,0.8,1.1666666666666667,-0.23993055555555554
backpack,0.9789708646616541,0.2631578947368421,3.1052631578947367,0.5175438596491229,4.0,-0.9789708646616541
bacon,1.0389254385964912,0.15789473684210525,2.3684210526315788,0.39473684210526316,3.736842105263158,-1.0389254385964912
bag,1.2535937499999998,0.05,1.1,0.36666666666666664,2.85,-1.2535937499999998
bagel,1.2181712962962963,0.1111111111111111,2.2222222222222223,0.3703703703703704,4.222222222222222,-1.2181712962962963
bagpipes,1.3120248538011696,0.10526315789473684,3.4210526315789473,0.4276315789473684,5.7368421052631575,-1.3120248538011696
bake,1.0732060185185184,0.05555555555555555,1.5555555555555556,0.3888888888888889,2.6666666666666665,-1.0732060185185184
ball,0.1125,0.85,2.8,0.9333333333333333,0.2,-0.1125
balloon,0.8612500000000001,0.1,2.7,0.54,2.35,-0.8612500000000001
bamboo,1.1497916666666668,0.0,1.45,0.29,4.65,-1.1497916666666668
banana,1.1951754385964912,0.21052631578947367,2.526315789473684,0.42105263157894735,4.0,-1.1951754385964912
bandage,1.4211929563492063,0.0,2.55,0.31875,7.2,-1.4211929563492063
banjo,1.2859747023809525,0.1,2.8,0.35,5.6,-1.2859747023809525
bar,0.725109649122807,0.2631578947368421,2.0526315789473686,0.6842105263157895,1.5263157894736843,-0.725109649122807
barbecue,1.0803906250000002,0.15,4.05,0.50625,4.7,-1.0803906250000002
barn,1.4014880952380953,0.0,1.380952380952381,0.34523809523809523,3.0952380952380953,-1.4014880952380953
barrel,1.4825657894736841,0.05263157894736842,1.6842105263157894,0.3368421052631579,4.157894736842105,-1.4825657894736841
baseball,0.2544642857142857,0.8333333333333334,6.111111111111111,0.873015873015873,1.1111111111111112,-0.2544642857142857
basket,1.0671060090702948,0.09523809523809523,3.238095238095238,0.5396825396825398,4.476190476190476,-1.0671060090702948
basketball,0.32060185185185186,0.6666666666666666,7.722222222222222,0.8580246913580247,1.6666666666666667,-0.32060185185185186
bat,0.7843201754385966,0.21052631578947367,1.894736842105263,0.631578947368421,2.263157894736842,-0.7843201754385966
bathroom,0.2482638888888889,0.8333333333333334,5.333333333333333,0.8888888888888888,0.7222222222222222,-0.2482638888888889
battery,0.6296875000000001,0.5263157894736842,4.105263157894737,0.6842105263157895,2.1052631578947367,-0.6296875000000001
be,1.0127083333333333,0.0,0.6,0.3,3.1,-1.0127083333333333
beach,0.7745610119047619,0.05,2.4,0.48,3.75,-0.7745610119047619
beads,0.9817982456140352,0.0,0.8421052631578947,0.21052631578947367,3.5789473684210527,-0.9817982456140352
beak,1.1321875000000001,0.0,0.95,0.31666666666666665,2.55,-1.1321875000000001
bean,1.1595014880952381,0.05,1.1,0.36666666666666664,2.8,-1.1595014880952381
bear,0.718452380952381,0.14285714285714285,1.7142857142857142,0.5714285714285714,2.1904761904761907,-0.718452380952381
beard,0.9869791666666666,0.0,1.6666666666666667,0.4166666666666667,3.0555555555555554,-0.9869791666666666
because,0.7876488095238096,0.4,2.6,0.52,2.8,-0.7876488095238096
bed,0.9796875,0.0,0.8,0.26666666666666666,3.5,-0.9796875
bee,1.0225694444444444,0.05555555555555555,0.8333333333333334,0.4166666666666667,2.0,-1.0225694444444444
been,1.1326041666666666,0.0,1.0,0.3333333333333333,2.3,-1.1326041666666666
before,0.27645833333333336,0.8,4.3,0.86,0.9,-0.27645833333333336
being,1.1471875,0.0,1.5,0.375,2.9,-1.1471875
bell,0.8025219298245613,0.3157894736842105,1.736842105263158,0.5789473684210527,1.894736842105263,-0.8025219298245613
belt,1.3372594246031746,0.05,1.35,0.3375,4.1,-1.3372594246031746
bench,1.5498511904761905,0.0,1.9473684210526316,0.32456140350877194,5.315789473684211,-1.5498511904761905
between,0.6497023809523809,0.5,3.6,0.6,3.1,-0.6497023809523809
bib,0.9206845238095239,0.047619047619047616,1.0952380952380953,0.36507936507936506,2.8095238095238093,-0.9206845238095239
bible,0.6951754385964912,0.10526315789473684,2.6315789473684212,0.4385964912280702,3.6842105263157894,-0.6951754385964912
bike,1.0239583333333333,0.1111111111111111,1.7777777777777777,0.4444444444444444,2.5555555555555554,-1.0239583333333333
binoculars,1.4342105263157894,0.0,3.1052631578947367,0.2822966507177033,8.68421052631579,-1.4342105263157894
bird,1.0479166666666666,0.05,1.6,0.4,3.05,-1.0479166666666666
biscuits,1.0367745535714286,0.05,3.55,0.5071428571428571,5.4,-1.0367745535714286
bleachers,1.1474780701754386,0.0,4.2631578947368425,0.47368421052631576,5.2105263157894735,-1.1474780701754386
blender,1.2083333333333335,0.05263157894736842,2.789473684210526,0.3984962406015037,4.473684210526316,-1.2083333333333335
blimp,1.305043859649123,0.10526315789473684,2.263157894736842,0.4526315789473684,4.157894736842105,-1.305043859649123
blueberry,0.9155257936507937,0.4,4.05,0.5785714285714285,3.85,-0.9155257936507937
boat,0.5088541666666667,0.3888888888888889,2.8333333333333335,0.7083333333333334,1.7777777777777777,-0.5088541666666667
bomb,0.9582624716553289,0.14285714285714285,1.6666666666666667,0.5555555555555556,1.8095238095238095,-0.9582624716553289
bone,0.6967187499999999,0.25,3.0,0.75,1.1,-0.6967187499999999
book,1.0522916666666666,0.2,1.15,0.3833333333333333,2.7,-1.0522916666666666
boot,0.75140625,0.05,2.2,0.7333333333333333,2.45,-0.75140625
both,0.38375,0.7,3.2,0.8,0.9,-0.38375
bottle,1.1551041666666666,0.15,1.85,0.37,3.55,-1.1551041666666666
bow,0.8111979166666666,0.35,1.85,0.6166666666666666,1.6,-0.8111979166666666
bowl,0.7353125,0.1,1.6,0.4,2.5,-0.7353125
bowling,1.046688988095238,0.2,2.55,0.425,3.9,-1.046688988095238
bowtie,0.6760565476190477,0.35,3.1,0.62,2.8,-0.6760565476190477
box,0.7620312499999999,0.25,2.25,0.5625,2.1,-0.7620312499999999
boy,0.7901864035087719,0.5789473684210527,1.9473684210526316,0.6491228070175439,1.736842105263158,-0.7901864035087719
bra,0.6853125,0.45,2.15,0.7166666666666666,1.45,-0.6853125
bracelet,1.186892361111111,0.05,3.0,0.375,6.05,-1.186892361111111
brain,0.8805555555555555,0.16666666666666666,2.7777777777777777,0.5555555555555556,2.3333333333333335,-0.8805555555555555
bread,0.7505527210884354,0.23809523809523808,2.0476190476190474,0.5119047619047619,2.5714285714285716,-0.7505527210884354
breakfast,0.45275297619047616,0.6666666666666666,6.285714285714286,0.7857142857142857,2.0476190476190474,-0.45275297619047616
breaking,1.1638392857142856,0.05,2.55,0.3642857142857142,4.95,-1.1638392857142856
brick,0.9330729166666666,0.15,1.95,0.4875,2.55,-0.9330729166666666
bride,0.7092575187969924,0.0,2.473684210526316,0.4947368421052632,2.6842105263157894,-0.7092575187969924
bridge,0.7208912037037037,0.2777777777777778,2.8333333333333335,0.4722222222222222,3.4444444444444446,-0.7208912037037037
british,0.9229166666666666,0.0,3.2,0.5333333333333333,3.2,-0.9229166666666666
broccoli,1.4625,0.0,2.75,0.3928571428571428,5.25,-1.4625
broom,1.0416666666666665,0.2,2.25,0.5625,1.95,-1.0416666666666665
bruise,1.0193359375,0.0625,2.0625,0.515625,3.25,-1.0193359375
brush,0.5378125,0.5,2.9,0.725,1.45,-0.5378125
bubble,0.8135964912280702,0.15789473684210525,1.9473684210526316,0.38947368421052636,3.5789473684210527,-0.8135964912280702
bucket,1.3237760416666666,0.05,1.3,0.26,4.05,-1.3237760416666666
