Metric,Value,CP_Pearson,CP_Rsquared,CP_Pvalue,CV_Pearson,CV_Rsquared,CV_Pvalue
WPS,0.8898,,,,,,
WVS,0.8953,,,,,,
WER,0.3313,-0.8435,0.7114,p<0.001,-0.8331,0.6941,p<0.001
CER,0.2139,-0.8896,0.7914,p<0.001,-0.8807,0.7757,p<0.001
BertScore,0.9343,0.8190,0.6707,p<0.001,0.8078,0.6525,p<0.001
SemanticSimilarity,0.6790,0.7610,0.5791,p<0.001,0.7493,0.5614,p<0.001
METEOR,0.6693,,,,,,
ROUGE-1,0.7073,,,,,,
ROUGE-2,0.5849,,,,,,
ROUGE-L,0.7060,,,,,,
