WPS,WVS,WER,CER,BertScore,SemanticSimilarity
0.9871885238058532,0.9873417721518988,0.058823529411764705,0.04597701149425287,0.9666550159454346,0.9747260808944702
1.0,1.0,0.0,0.0,0.9999999403953552,1.0
1.0,1.0,0.0,0.0,1.0,1.0
1.0,1.0,0.0,0.0,1.0,1.0
1.0,1.0,0.0,0.0,1.0,1.0000001192092896
1.0,1.0,0.0,0.0,1.0,1.0
1.0,1.0,0.0,0.0,1.0,1.0000001192092896
1.0,1.0,0.06666666666666667,0.011363636363636364,0.967893123626709,0.7835375070571899
0.9735730788552047,0.9732079644091587,0.1875,0.031578947368421054,0.965701162815094,0.9162130951881409
0.946236559139785,0.946236559139785,0.047619047619047616,0.06481481481481481,0.9960199594497681,0.9467406272888184
1.0,1.0,0.0,0.0,1.0,1.0
1.0,1.0,0.0,0.0,1.0,1.0
1.0,1.0,0.0,0.0,1.0,1.0000001192092896
1.0,1.0,0.0,0.0,1.0,1.0
1.0,1.0,0.0,0.0,1.0,1.0000001192092896
1.0,1.0,0.0,0.0,1.0,1.0
1.0,1.0,0.0,0.0,1.0000001192092896,1.0
1.0,1.0,0.0,0.0,0.9999998807907104,1.0000001192092896
1.0,1.0,0.0,0.0,1.0000001192092896,1.0
0.9901960784313726,0.9901960784313726,0.04,0.017241379310344827,0.991349995136261,0.7630402445793152
0.999090531998116,0.9991357305975116,0.05263157894736842,0.030927835051546393,0.9755616784095764,0.7430800199508667
1.0,1.0,0.0,0.0,0.9999998807907104,1.0
1.0,1.0,0.0,0.0,0.9999999403953552,1.0
1.0,1.0,0.0,0.0,1.0,1.0000001192092896
1.0,1.0,0.0,0.0,1.0000001192092896,1.0
1.0,1.0,0.0,0.0,0.9999999403953552,1.0000001192092896
0.9880952380952381,0.9880952380952381,0.05555555555555555,0.031578947368421054,0.9733125567436218,0.9832934737205505
0.9986799594610306,0.9989563602184909,0.07692307692307693,0.011764705882352941,0.9668572545051575,0.675055742263794
1.0,1.0,0.0,0.0,1.0,1.0000001192092896
1.0,1.0,0.0,0.0,1.0000001192092896,1.0000001192092896
1.0,1.0,0.0,0.0,1.0,1.0
1.0,1.0,0.0,0.0,1.0000001192092896,1.0000001192092896
1.0,1.0,0.0,0.0,0.9999999403953552,1.0000001192092896
1.0,1.0,0.0,0.0,0.9999999403953552,1.0
1.0,1.0,0.0,0.0,0.9999998807907104,1.0000001192092896
1.0,1.0,0.0,0.0,1.0,1.0000001192092896
0.8910891089108911,0.8910891089108911,0.13636363636363635,0.1,0.9770181775093079,0.9770506620407104
0.9865107673732216,0.9865433936452654,0.06666666666666667,0.04395604395604396,0.9730530977249146,0.7155148386955261
1.0,1.0,0.0,0.0,0.9999998211860657,1.0000001192092896
1.0,1.0,0.0,0.0,1.000000238418579,1.0
1.0,1.0,0.0,0.0,1.0,1.0000001192092896
1.0,1.0,0.0,0.0,0.9999998807907104,1.0000001192092896
0.9989437544773925,0.9990764949830112,0.0625,0.012658227848101266,0.968040943145752,0.5565354228019714
0.9992251327531484,0.9992016214933667,0.06666666666666667,0.01,0.9770474433898926,0.942259669303894
1.0,1.0,0.0,0.0,1.0000001192092896,1.0
0.9405967857777124,0.938703301949846,0.35294117647058826,0.11,0.9661552906036377,0.866445004940033
