,Word,Dist,Accuracy,Phoneme_Correct,Phoneme_Correct_Percentage,Levenshtein,Length,Freq_HAL,Log_Freq_HAL,Ortho_N,Phono_N,Age_Of_Acquisition,NPhon,IPA,phonemes,isFront,isRound,lowerLipTuck,protrusion,labialClosure,mouthNarrowing,lipRounding,infoCount_total,infoPercent_total,infoCount_phoneme,infoPercent_phoneme,infoCount_viseme,infoPercent_viseme
19,add,1.03375,0.0,1.2,0.6,2.4,3.0,113856.0,11.643,10.0,24.0,5.1,2.0,æd,"['æ', 'd']",False,False,False,False,False,False,False,0,0.0,0,0.0,0,0.0
20,adherence,1.2684659090909092,0.0909090909090909,3.4545454545454546,0.4318181818181818,5.454545454545454,9.0,903.0,6.806,0.0,1.0,12.22,8.0,ədhɪɹəns,"['ə', 'd', 'h', 'ɪ', 'ɹ', 'ə', 'n', 's']",False,False,False,False,False,False,False,0,0.0,0,0.0,0,0.0
21,admit,1.425052083333333,0.0,1.5,0.3,5.1,5.0,27202.0,10.211,1.0,0.0,7.56,5.0,ədmɪt,"['ə', 'd', 'm', 'ɪ', 't']",True,False,False,False,True,False,False,1,0.2,1,0.2,1,0.2
22,adopt,0.91875,0.2,2.7,0.54,3.1,5.0,5702.0,8.649,2.0,2.0,7.83,5.0,ədɑpt,"['ə', 'd', 'ɑ', 'p', 't']",True,False,False,False,True,False,False,1,0.2,1,0.2,1,0.2
23,advise,0.9260416666666668,0.0,2.1,0.35,4.2,6.0,9061.0,9.112,2.0,1.0,8.89,5.0,ædvajz,"['æ', 'd', 'v', 'a', 'j', 'z']",True,False,True,False,False,False,True,2,0.3333333333333333,1,0.16666666666666666,2,0.3333333333333333
24,afford,0.3835714285714285,0.5,4.1,0.82,1.4,6.0,18642.0,9.833,0.0,4.0,7.47,5.0,əfɔɹd,"['ə', 'f', 'ɔ', 'ɹ', 'd']",True,True,True,False,False,False,False,2,0.4,2,0.4,1,0.2
25,afraid,0.5028409090909091,0.5454545454545454,4.363636363636363,0.7272727272727273,1.818181818181818,6.0,23303.0,10.056,0.0,2.0,4.42,5.0,əfɹejd,"['ə', 'f', 'ɹ', 'e', 'j', 'd']",True,False,True,False,False,False,True,2,0.3333333333333333,1,0.16666666666666666,2,0.3333333333333333
26,after,1.2430357142857145,0.1,1.9,0.38,3.7,5.0,414103.0,12.934,3.0,4.0,5.998,4.0,æftɹ̩,"['æ', 'f', 't', 'ɹ̩']",True,False,True,False,False,False,False,1,0.25,1,0.25,1,0.25
27,afternoon,1.0152901785714286,0.3,4.5,0.5625,4.2,9.0,10525.0,9.262,0.0,0.0,4.65,7.0,æftɹ̩nun,"['æ', 'f', 't', 'ɹ̩', 'n', 'u', 'n']",True,True,True,False,False,False,False,2,0.2857142857142857,2,0.2857142857142857,1,0.14285714285714285
28,again,0.8713541666666668,0.4,2.8,0.7,2.6,5.0,249680.0,12.428,1.0,2.0,5.785,4.0,əɡɛn,"['ə', 'ɡ', 'ɛ', 'n']",False,False,False,False,False,False,False,0,0.0,0,0.0,0,0.0
